Sku,"System SKU",Size,Name,"Parent Sku",Cost,Rccp,Category,barcode,brand,"Selling Status","Promo Price","Extra Cost","Stock Status","Is Active",Channels,,,,
008864355892,,,"Bandolino Millie Curvy Straight Capri Fray Cuff (Tulare,10)",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866108083,,,"Bandolino Womens Amy Straight Leg Super Stretch Jeans (18, Black)",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866108137,,,"Bandolino Amy Straight Leg Denim Size 10",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866108175,,,"Bandolino Womens Amy Straight Leg Super Stretch Jeans (18, Fairview)",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866108519,,,"Bandolino Womens Size 14 Amy Straight Leg Jeans, Night Breeze Luscious Floral",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866771683,,,"Bandolino Amy Straight Leg Denim - White Sz 12",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
008866771706,,,"Bandolino Women's Amy Straight Leg Denim (White, 16)",,29.99,29.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
010343933927,,,"Epson WorkForce Pro WF-4734 All-in-One Printer:4-in-1 with Wi-Fi: Print/Copy/Scan/Fax",,209.99,209.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
011111013650,,,"Dove Men + Care Extra Fresh Cooling Agent Body + Face Wash, 18 Ounce (Pack of 3)",,33.00,33.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
013700809514,,,"Hefty Foam Plates, 8 7/8-Inch",,24.00,24.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
013700812507,,,"Hefty Foam Bowl, 12-Ounce (Packaging may Vary)",,30.00,30.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633192933,,,"Skate 3 - Xbox 360 [video game]",,17.47,17.47,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633369960,,,"Anthem - PlayStation 4 [video game]",,16.00,16.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633371758,,,"Madden NFL 19 - Xbox One [video game]",,10.00,10.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633372458,,,"Battlefield V - PlayStation 4 [video game]",,21.90,21.90,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633379754,,,"FIFA 21 – PlayStation 4 & PlayStation 5 [video game]",,59.99,59.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633379808,,,"Madden NFL 21 – Xbox One & Xbox Series X [video game]",,59.99,59.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
"014633379808 -2",,,"XCOM 2 (Xbox One) [video game]",,19.99,19.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633379839,,,"Madden NFL 21 – PlayStation 4 & PlayStation 5 [video game]",,49.99,49.99,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
014633735253,,,"Anthem - Xbox One [video game]",,15.00,15.00,Nike,'',,Slow,,0.00,Slow,1,amazonglobalmobile,,,,
